id,created_at,text
700726024422576128,2016-02-19 16:57:57,"RT @CNN: ""You never really understand a person until you consider things from his point of view..."" https://t.co/fbwJLoxgPZ https://t.co/RV…"
700724424836644864,2016-02-19 16:51:36,"Can't wait @MSVU_Halifax's ""Girls 2016 Conference: Soaring to New Heights""! #empoweringyoungwomen #resilience https://t.co/tnK2RjYS57"
699992619624095744,2016-02-17 16:23:40,"Looking forward to @CMHANSDivision's event, more information below! #psychologicalhealth #safety #workplace https://t.co/t7xNd99H2x"
699992080286875648,2016-02-17 16:21:31,RT @DanielGolemanEI: VIDEO: @DrDanSiegel on the leader's brain. #brainpower #leadership https://t.co/TLldtXngbd
699595850645966848,2016-02-16 14:07:03,Promote Psychological Health and Safety in your workplace! @CMHANSDivision #resilience #healthyworkplace  https://t.co/t7xNd99H2x
699595257026101248,2016-02-16 14:04:41,RT @panoptika: Lessons in #resilience from @drpeterjensen - thinking of you @airInstitutes
692406649504538624,2016-01-27 17:59:44,RT @Bell_LetsTalk: Imagine if we felt as comfortable talking about our #mentalhealth as we do about going to the dentist. #BellLetsTalk htt…
692406543225069568,2016-01-27 17:59:18,"Let's talk about #Psychological #Health and #Safety in the workplace. Create change, start a conversation. #BellLetsTalk #resilience"
677877032018010113,2015-12-18 15:44:13,Check out more coverage of Air Institutes in the @chronicleherald ! https://t.co/o2C01sstvO #resilience #business #healthperformance
677838025049645056,2015-12-18 13:09:13,"Check out the profile on Dr. Kinley and Air Institutes on Entravestor to learn more about #business &amp; #resilience. 
https://t.co/Ev7W1sxiRG"
674639199442763778,2015-12-09 17:18:13,Develop resiliency to better manage occupational stress and learn to thrive under pressure. https://t.co/DtZ5npDERQ #healthandperformance
674635763687022592,2015-12-09 17:04:34,Develop resiliency to better manage occupational stress and mitigate the impacts on mental health https://t.co/DtZ5npDERQ #mentalhealth
672444534614269952,2015-12-03 15:57:25,RT @DanielGolemanEI: Leaders attuned to their inner signals can recognize how their emotions impact performance. https://t.co/9JCYJB9AoV ht…
671379747771953153,2015-11-30 17:26:20,Check out our Winter Newsletter linked in the tweet below. Air is Circulating! #resilience #mentalhealth https://t.co/uKbizMWbAA
671379343126450176,2015-11-30 17:24:43,https://t.co/yoWEqPTO9s
671315917763174400,2015-11-30 13:12:41,"Air is working with universities to build Mental fitness so Students can succeed!  #resilience #mentalhealth 
https://t.co/BqVVsyecoi"
